Id,Name,Language,keywords
1030195,morning star,eng, h._rider_haggard 1st_world_library_-_literary_society eng memphis egypt delta governor thebes
1090099,kitty's class day and other stories,eng, louisa_may_alcott 1st_world_library_-_literary_society eng proverb picket bells christmas stories
1013522,the art of french kissing,eng, kristin_harmel 5_spot_pub eng emma paris french shes sullivan
1003725,"comet in moominland (the moomins, #2)",eng,"the_moomins,_#2 tove_jansson a_&_c_black eng moomintroll comet moominvalley adventures adventure"
1099901,the boy who cried horse,en-GB, terry_deary a_&_c_black en-GB acheron greeks trojan troy helen
1004874,cry in the dark (black cats),eng, dee_shulman a_&_c_black_publishers_ltd eng ghost timeslip victorian letterwriting family
1077119,100 must-read science fiction novels,en-US, stephen_e._andrews a_&c_black en-US genre novels fiction sf recommendations
1077946,beautiful thing,eng, jonathan_harvey a&c_black eng fairytale adolescent youth comedy exquisitely
1085424,aa spiral guide paris,eng, teresa_fisher aa_publishing eng paris hotspots crowds city guide
1013940,the beast (grens & sundkvist #1),eng,grens_&_sundkvist_#1 anders_roslund abacus eng murderer crimewriting novel murdered glass
1091716,sea glass,eng, anita_shreve abacus eng sexton hampshire newlyweds textilemanufacturing marriage
1087092,love medicine,eng, louise_erdrich abacus eng kashpaws kashpaw families medicine lamartines
1080661,a tall man in a low land,eng, harry_pearson abacus eng belgians brussels belgium harry british
1051690,howling at the moon: confessions of a music mogul in an age of excess,eng, walter_yetnikoff abacus/time_warner_book_group_uk eng biz springsteen debauchery walter maniacal
1020812,"kill or cure (the afterblight chronicles, #2)",eng,"the_afterblight_chronicles,_#2 rebecca_levene abaddon_books eng jasmine jasmines underground mysterious bunker"
1021859,seven trails west,en-US, arthur_king_peters abbeville_press en-US trails trail routes railroad west
1025240,new testament stories from the back side: bible stories with a twist,eng, j._ellsworth_kalas abingdon_press eng testament books stories retelling guide
1028285,the venetian twins / mirandolina: two plays,eng, carlo_goldoni absolute_classics eng venetian goldonis goldoni mirandolina twins
1028577,cop talk: essential communication skills for community policing,eng, rick_braziel acada_books eng policecommunity cop policing officers communication
1063121,simulation,en-US, sheldon_m._ross academic_press en-US simulation simulated stochastic actuaries statistics
1017102,treen for the table: wooden objects relating to eating and drinking,eng, jonathan__levi acc_distribution eng turners art century treen celebrates
1023480,"the boy i love (the boy i love trilogy, #1)",eng,"the_boy_i_love_trilogy,_#1 marion_husband accent_press_(uk) eng margot paul betrayal homosexuality tangled"
1076692,riverine operations: vietnam studies 1966-1969,eng, william_b._fulton acclaim_press eng riverine vietnam army navy operations
1044430,"the laughing corpse (anita blake, vampire hunter #2)",eng,"anita_blake,_vampire_hunter_#2 laurell_k._hamilton ace eng zombie zombieand vampire anita killer"
1038717,vampires of vermont (news from the edge #3),eng,news_from_the_edge_#3 mark_sumner ace eng tabloids weirdshockingbizarrevampire murderedsaves mysteriously headlinesavvy
1071615,the many faces of van helsing,eng, jeanne_cavelos ace eng dracula vampire hunter bram van
1017301,"companions (laws of the blood, #3)",eng,"laws_of_the_blood,_#3 susan_sizemore ace eng selena detective homicide crawford vampire"
1086496,the bloody sun (darkover),eng, marion_zimmer_bradley ace eng terran darkover darkovan terrani novel
1073006,wayward moon,eng, denny_demartino ace eng philipa forensic murder astrologer cyprion
1017303,deceptions,eng, susan_sizemore ace eng olympias servant washington enforcer reigned
1026789,a calculated magic,eng, robert_e._weinberg ace eng magician merlin collins vegas mountain
1070774,"the lunatic cafe (anita blake, vampire hunter, #4)",eng,"anita_blake,_vampire_hunter,_#4 laurell_k._hamilton ace eng werewolves vampires werewolf slugfests volunteer"
1022229,"the sorcerer's lady (sorcerer, #1)",eng,"sorcerer,_#1 paula_volsky ace eng verran sorcerers verrans sorcery dread"
1022226,"the sorcerer's curse (sorcerer, #3)",eng,"sorcerer,_#3 paula_volsky ace eng darkness king bloods curse feared"
1033417,"the timekeeper conspiracy (time wars, #2)",eng,"time_wars,_#2 simon_hawke ace eng timekeepers temporal time forever lucas"
1070565,hit or myth (myth adventures #4),eng,myth_adventures_#4 robert_lynn_asprin ace_books eng skeeve rodrick king demon mobs
1090282,"cyberstealth (cyberstealth, #1)",eng,"cyberstealth,_#1 s.n._lewitt ace_books eng pilot aliens batwings batwing cardia"
1061925,the moon is a harsh mistress,eng, robert_a._heinlein ace_books eng revolution novel revolts revolutions rebellion
1009576,"safari for spies (killmaster, #4)",eng,"killmaster,_#4 nick_carter ace_books eng nyanga ussr bombed bombing embassy"
1058603,"talking to dragons (enchanted forest chronicles, #4)",eng,"enchanted_forest_chronicles,_#4 patricia_c._wrede ace_books eng sword daystar magicquest daystars dragon"
1001564,good omens,eng, terry_pratchett ace_trade eng motorcycles apocalypse horsemen ride murphys
1042172,thucydides mythistoricus,eng, francis_macdonald_cornford adamant_media_corporation eng copyright preserved copy preservation scholars
1030775,data structures & other objects using java,eng, michael_g._main addison_wesley_longman eng java programming programmers classes implementation
1083109,multinational business finance,eng, david_k._eiteman addison_wesley_publishing_company eng multinational finance markets enterprises managers
1020744,ways of sunlight,eng, sam_selvon addison_wesley_publishing_company eng masterstoryteller village canecutters gossip washerwomen
1053987,the partner,eng, jacqueline_kehl addison_wesley_publishing_company eng grisham lanigan penguin thriller genre
1054048,a time to kill,eng, christopher_tribble addison_wesley_publishing_company eng lee violence raped lawyer mississippi
1032758,the practice of programming (addison-wesley professional computing series),eng, brian_w._kernighan addison-wesley eng programming programmers unix productive rob
1035377,software craftsmanship: the new imperative,en-US, pete_mcbreen addison-wesley_professional en-US craftsmanship carpenter programmers programmer craft
1069710,hack i.t. - security through penetration testing,eng, t.j._klevinsky addison-wesley_professional eng learning learnt grammar french vocabulary
1057827,the ace programmer's guide: practical design patterns for network and systems programming,eng, stephen_d._huston addison-wesley_professional eng ace middleware framework networked frameworks
1043684,opengl superbible: comprehensive tutorial and reference,en-GB, richard_s._wright_jr. addison-wesley_professional en-GB opengl opengls books shaders graphics
1044580,yachting monthly's sailing an atl,eng, alastair__buchan adlard_coles eng sailing cruise sailors aboard atlantic
1076624,cruising under sail,eng, eric_c._hiscock adlard_coles eng cruising beginner book practical enjoyed
1069396,birds of minnesota field guide,en-US, stan_tekiela adventure_publications en-US birds bird minnesota yellow species
1066702,"set phasers on stun: and other true tales of design, technology and human error",eng, s.m._casey aegean eng technological technology technologies incompatibilities devices
1049123,iphigenia in tauris,eng, johann_wolfgang_von_goethe aegypan eng goethe faust escape sacrificing author
1067441,"foundations of education, volume ii: instructional strategies for teaching children and youth with visual impairments",eng, m._cay_holbrook afb_press eng impaired impairment curriculum visual visually
1014691,"introduction to e-commerce by king, turban--study guide",eng, cram101_textbook_reviews aipi eng textbook cram101 outlines highlight highlights
1018317,miami noir,eng, les_standiford akashic_books eng novel miami miamis crime americas
1038268,slake's limbo: 121 days,eng, felice_holman aladdin eng books book adultsan underground sheltering
1014059,gorillas (jane goodall's animal world),eng, miriam_schlein aladdin eng gorillas shy africa gentle residents
1050356,"don't fry my veeblax! (sixth grade alien, #6)",eng,"sixth_grade_alien,_#6 bruce_coville aladdin eng endangered pleskits pleskit pets species"
1051153,big pumpkin,en-US, erica_silverman aladdin en-US pumpkin bat halloween spooky vampire
1000751,"pollyanna (pollyanna, #1)",eng,"pollyanna,_#1 eleanor_h._porter aladdin eng pollyanna orphan pollyannas eleanor novels"
1081856,masai and i,eng, virginia_l._kroll aladdin eng masailindas masai linda imagination celebrate
1050764,"face the music (heart beats, #5)",eng,"heart_beats,_#5 elizabeth_m._rees aladdin_paperbacks eng dancer sophy tango dancing dance"
1004265,"planet of the dips (space brat, #4)",eng,"space_brat,_#4 bruce_coville aladdin_paperbacks eng planet planets spaceship blork discover"
1096528,"sunwing (silverwing, #2)",eng,"silverwing,_#2 kenneth_oppel aladdin_paperbacks eng bats bat shade shades jungle"
1060837,"the bike tour mystery (nancy drew, #168)",eng,"nancy_drew,_#168 carolyn_keene aladdin_paperbacks eng cyclists riding bikes uphill tour"
1060850,"a wizard named nell (the keepers, #1)",eng,"the_keepers,_#1 jackie_french_koller aladdin_paperbacks eng eldearth witches wizard nell demidragon"
1059545,yuuyaraq: the way of the human being,en-US, harold_napoleon alaska_native_knowledge_network en-US eskimo alaska natives disasters societies
1094841,big-enough anna: the little sled dog who braved the arctic,eng, pam_flowers alaska_northwest_books eng flowers arctic pam expedition dog
1002400,"benny goes into business (adventures of benny and watch, #5)",eng,"adventures_of_benny_and_watch,_#5 gertrude_chandler_warner albert_whitman__company eng benny peanut workbaking business food"
1043000,"the mystery of the singing ghost (the boxcar children, #31)",en-US,"the_boxcar_children,_#31 gertrude_chandler_warner albert_whitman__company en-US haunted ghost aldens rumors mysterious"
1082555,the saddest time,eng, norma_simon albert_whitman_&_company eng death emotions died children life
1012700,man and his symbols,eng, c.g._jung aldus_books eng jung symbolism jungs symbols dreams
1070579,jurassic park,eng, michael_crichton alfred_a_knopf eng jurassic dinosaurbitesman crichton crichtons novel
1098817,the island of the colorblind and cycad island,eng, oliver_sacks alfred_a_knopf eng anthropologist micronesian islands island nature
1063439,no man knows my history: the life of joseph smith,eng, fawn_m._brodie alfred_a_knopf eng mormon joseph smith prophet biography
1010284,a history of the modern world,en-US, r.r._palmer alfred_a._knopf en-US literature modern history worldfor world
1097881,"a midwife's tale: the life of martha ballard, based on her diary, 1785-1812",eng, laurel_thatcher_ulrich alfred_a._knopf eng eighteenthcentury maine midwife practices history
1055176,the tale of genji,eng, murasaki_shikibu alfred_a._knopf eng genji murasaki novel literature japanese
1060351,rumi poems,eng, rumi alfred_a._knopf eng rumis rumi poet poetry poets
1090598,the road to reality: a complete guide to the laws of the universe,eng, roger_penrose alfred_a._knopf eng einsteins theorysince theories universe theory
1047687,licks of love: short stories and a sequel,eng, john_updike alfred_a._knopf eng tales novels stories harry banjo
1085728,shikasta re: colonized planet 5,eng, doris_lessing alfred_a._knopf eng canopus shikasta shikastans novels archives
1083758,close encounters of the fourth kind,eng, c.d.b._bryan alfred_a._knopf_(ny) eng ufo ufos book encounter author
1020898,in pharaoh's army: memories of the lost war,en-US," tobias_wolff alfred_a._knopf,_inc. en-US wolff tet paperback uncanny blind"
1077066,"time, love, memory: a great biologist and his quest for the origins of behavior",en-US," jonathan_weiner alfred_a._knopf,_inc. en-US dna illustrations scientists laboratories shape"
1077640,genet: a biography,en-US," edmund_white alfred_a._knopf,_inc. en-US novelist biography genet genets novels"
1073581,violin,eng, anne_rice alfred_a._knopf/borzoi_book eng violin novels triana audiobook author
1047162,heart in the right place,eng, carolyn_jourdan algonquin_books eng memoir carolyn heart mercedes walmartcarolyn
1081832,yak butter & black tea: a journey into tibet,eng, wade_brackenbury algonquin_books eng tibet exploration author adventure shadows
1076596,"stealing with style (sterling glass, #1)",eng,"sterling_glass,_#1 emyl_jenkins algonquin_books eng antiques sterling antique thrift heirlooms"
1083187,shalom y'all: images of jewish life in the american south,en-US, vicki_reikes_fox algonquin_books en-US jewish holocaust author henrietta kitchen
1059407,keeping faith,eng, jodi_picoult allen__&_unwin eng faith mariah insanity believe miracles
1004435,"secrets in the fire (sofia, #1)",eng,"sofia,_#1 henning_mankell allen_&_unwin_australia eng sofia sofias novel land spirited"
1015949,england's thousand best houses,eng, simon_jenkins allen_lane eng castles mansions houses palaces halls
1068936,"the annotated alice: alice's adventures in wonderland; and, through the looking glass",eng," lewis_carroll allen_lane,_the_penguin_press eng carroll alice carrolls alices gardner"
1022173,interesting times: a twentieth century life,eng, eric_j._hobsbawm allen_lane/penguin_books_ltd. eng historia historiador guerra histórico entregarnos
1053864,the leash,eng, françoise_sagan allison_&_busby eng aparentemente ociosidade profissionais inocente pianista
1070159,a house in the sunflowers: living the dream in the south of france,en-GB, ruth_silvestre allison_&_busby en-GB silvestre sunflowers lotetgaronne france french
1046394,"the lone traveller (gregory summers, #1)",eng,"gregory_summers,_#1 susan_b._kelly allison_&_busby eng townspeople solstice summer hungerford romanies"
1082327,"river deep (martha gunn, #1)",eng,"martha_gunn,_#1 priscilla_masters allison_&_busby eng shrewsbury severn coroner homicide murdered"
